;;;;;;;;
13/01/2025;10/01/2025;5531-1;Agroterenas Citrus; R$ 52.500,00 ; R$ 52.500,00 ; R$ 3.675,00 ;RONALDO;BIOMAR
16/01/2025;15/01/2025;5538-1;Agroterenas Citrus; R$ 17.500,00 ; R$ 17.500,00 ; R$ 1.225,00 ;RONALDO;BIOMAR
10/02/2025;07/02/2025;5531;Agroterenas Citrus; R$ 52.500,00 ; R$ 52.500,00 ; R$ 3.675,00 ;RONALDO;BIOMAR
17/02/2025;14/02/2025;5538;Agroterenas Citrus; R$ 17.500,00 ; R$ 17.500,00 ; R$ 1.225,00 ;RONALDO;BIOMAR
07/03/2025;07/03/2025;5568;Agroterenas Citrus; R$ 35.000,00 ; R$ 35.000,00 ; R$ 2.450,00 ;RONALDO;BIOMAR
08/04/2025;07/04/2025;5568;Agroterenas Citrus; R$ 35.000,00 ; R$ 35.000,00 ; R$ 2.450,00 ;RONALDO;BIOMAR
;;;;; Total ; R$ 14.700,00 ;;
;;;;;;;;
02/05/2025;30/04/2025;5448;Agraria Comercio; R$ 14.840,00 ; R$ 14.840,00 ; R$ 1.038,80 ;RONALDO;BIOMAR
02/05/2025;30/04/2025;5514;Agraria Comercio; R$ 28.888,00 ; R$ 28.888,00 ; R$ 2.022,16 ;RONALDO;BIOMAR
02/05/2025;30/04/2025;5540;Agraria Comercio; R$ 8.800,00 ; R$ 8.800,00 ; R$ 616,00 ;RONALDO;BIOMAR
02/05/2025;30/04/2025;5470;Agraria Comercio; R$ 22.000,00 ; R$ 22.000,00 ; R$ 1.540,00 ;RONALDO;BIOMAR
;;;;;Total; R$ 5.216,96 ;;
